Age,Sex,Province,Vehicle
78.0,ชาย,สระแก้ว,รถจักรยานยนต์
61.0,ชาย,อุบลราชธานี,รถจักรยานยนต์
62.0,ชาย,ขอนแก่น,รถจักรยานยนต์
58.0,ชาย,เชียงราย,รถจักรยานยนต์
74.0,ชาย,สงขลา,รถจักรยานยนต์
18.0,ชาย,พิษณุโลก,รถจักรยานยนต์
24.0,ชาย,นครพนม,รถจักรยานยนต์
70.0,หญิง,ตราด,รถจักรยานยนต์
42.0,ชาย,สงขลา,รถจักรยานยนต์
7.0,หญิง,ยะลา,รถยนต์
74.0,หญิง,นครศรีธรรมราช,รถจักรยานยนต์
53.0,ชาย,แพร่,รถยนต์
34.0,ชาย,พิษณุโลก,รถจักรยานยนต์
36.0,ชาย,ตาก,รถจักรยานยนต์
41.0,หญิง,สงขลา,รถจักรยานยนต์
28.0,ชาย,ตรัง,รถยนต์
3.0,ชาย,สงขลา,รถจักรยานยนต์
38.0,ชาย,พิษณุโลก,รถจักรยานยนต์
60.0,ชาย,นครราชสีมา,รถจักรยานยนต์
65.0,ชาย,ศรีสะเกษ,รถจักรยานยนต์
44.0,ชาย,มุกดาหาร,รถจักรยานยนต์
42.0,ชาย,เพชรบูรณ์,รถจักรยานยนต์
31.0,หญิง,นครราชสีมา,รถจักรยานยนต์
26.0,ชาย,พิษณุโลก,รถจักรยานยนต์
25.0,ชาย,นครพนม,รถจักรยานยนต์
23.0,ชาย,น่าน,รถจักรยานยนต์
49.0,หญิง,ศรีสะเกษ,รถจักรยานยนต์
29.0,ชาย,นราธิวาส,รถจักรยานยนต์
33.0,หญิง,นครศรีธรรมราช,รถจักรยานยนต์
39.0,ชาย,แพร่,รถยนต์
71.0,ชาย,สระบุรี,คนเดินเท้า
36.0,ชาย,แพร่,รถยนต์
14.0,ชาย,อำนาจเจริญ,รถจักรยานยนต์
58.0,หญิง,สุราษฎร์ธานี,รถจักรยานยนต์
23.0,ชาย,นราธิวาส,รถจักรยานยนต์
53.0,ชาย,อำนาจเจริญ,คนเดินเท้า
8.0,ชาย,เชียงใหม่,รถจักรยานยนต์
59.0,หญิง,พิษณุโลก,รถจักรยานยนต์
36.0,หญิง,นครราชสีมา,รถจักรยานยนต์
63.0,ชาย,แพร่,รถจักรยานยนต์
75.0,ชาย,พัทลุง,รถจักรยานยนต์
50.0,ชาย,ตรัง,รถจักรยานยนต์
50.0,ชาย,ตรัง,รถจักรยานยนต์
72.0,ชาย,นราธิวาส,รถจักรยานยนต์
32.0,ชาย,สกลนคร,รถยนต์
47.0,ชาย,ยะลา,รถจักรยานยนต์
18.0,หญิง,สุรินทร์,รถจักรยานยนต์
36.0,ชาย,ปัตตานี,รถจักรยานยนต์
41.0,หญิง,อุดรธานี,รถจักรยานยนต์
74.0,ชาย,พะเยา,รถจักรยานยนต์
52.0,หญิง,นครราชสีมา,รถยนต์
61.0,หญิง,สกลนคร,รถจักรยานยนต์
55.0,หญิง,พิจิตร,รถจักรยานยนต์
60.0,หญิง,ยะลา,รถยนต์
77.0,ชาย,พิจิตร,รถจักรยานยนต์
33.0,ชาย,พัทลุง,รถจักรยานยนต์
83.0,ชาย,พัทลุง,รถจักรยานยนต์
14.0,ชาย,นครสวรรค์,รถจักรยานยนต์
39.0,ชาย,อุดรธานี,รถจักรยานยนต์
49.0,หญิง,ชลบุรี,รถจักรยานยนต์
60.0,ชาย,นครราชสีมา,รถจักรยานยนต์
64.0,ชาย,นราธิวาส,รถจักรยานยนต์
72.0,ชาย,ศรีสะเกษ,รถจักรยานยนต์
70.0,หญิง,ศรีสะเกษ,รถจักรยานยนต์
77.0,ชาย,นครพนม,รถยนต์
37.0,ชาย,ปัตตานี,รถยนต์
14.0,ชาย,ตรัง,รถจักรยานยนต์
13.0,ชาย,นครพนม,รถจักรยานยนต์
16.0,หญิง,เพชรบูรณ์,รถจักรยานยนต์
70.0,หญิง,บึงกาฬ,รถจักรยาน
50.0,ชาย,แม่ฮ่องสอน,รถจักรยานยนต์
32.0,ชาย,นครปฐม,รถจักรยานยนต์
7.0,ชาย,สงขลา,รถจักรยานยนต์
15.0,ชาย,นครราชสีมา,รถจักรยานยนต์
68.0,หญิง,เลย,รถยนต์
67.0,หญิง,เชียงใหม่,รถจักรยานยนต์
71.0,ชาย,สงขลา,รถจักรยานยนต์
59.0,ชาย,เพชรบูรณ์,รถจักรยานยนต์
29.0,ชาย,เชียงใหม่,คนเดินเท้า
63.0,ชาย,ศรีสะเกษ,รถจักรยานยนต์
48.0,หญิง,มุกดาหาร,รถจักรยานยนต์
67.0,หญิง,ขอนแก่น,รถจักรยานยนต์
26.0,ชาย,นครสวรรค์,รถจักรยานยนต์
24.0,ชาย,ฉะเชิงเทรา,รถจักรยานยนต์
85.0,ชาย,นราธิวาส,รถจักรยานยนต์
50.0,ชาย,นครราชสีมา,รถจักรยานยนต์
29.0,ชาย,ชุมพร,รถจักรยานยนต์
68.0,ชาย,เลย,รถจักรยานยนต์
3.0,ชาย,นราธิวาส,รถยนต์
44.0,ชาย,เชียงใหม่,รถจักรยานยนต์
47.0,ชาย,ขอนแก่น,รถจักรยานยนต์
27.0,หญิง,อุทัยธานี,รถยนต์
37.0,ชาย,นครราชสีมา,รถจักรยานยนต์
39.0,หญิง,อุดรธานี,รถยนต์
66.0,ชาย,นราธิวาส,คนเดินเท้า
26.0,ชาย,ราชบุรี,รถจักรยานยนต์
12.0,ชาย,เชียงใหม่,รถจักรยานยนต์
45.0,ชาย,นครพนม,รถจักรยานยนต์
49.0,ชาย,ยะลา,รถจักรยานยนต์
35.0,ชาย,นครราชสีมา,รถจักรยานยนต์
37.0,ชาย,นราธิวาส,รถจักรยานยนต์
13.0,ชาย,ระนอง,รถจักรยานยนต์
1.0,หญิง,เชียงใหม่,รถยนต์
71.0,หญิง,กำแพงเพชร,รถจักรยานยนต์
55.0,ชาย,ยะลา,รถยนต์
22.0,ชาย,นครสวรรค์,รถจักรยานยนต์
4.0,หญิง,เชียงใหม่,รถยนต์
16.0,ชาย,สุพรรณบุรี,รถจักรยานยนต์
16.0,ชาย,สุพรรณบุรี,รถจักรยานยนต์
32.0,ชาย,นราธิวาส,รถจักรยานยนต์
13.0,หญิง,มหาสารคาม,รถจักรยานยนต์
47.0,ชาย,ลำปาง,รถยนต์
21.0,ชาย,มหาสารคาม,รถจักรยานยนต์
91.0,ชาย,นราธิวาส,รถยนต์
74.0,ชาย,ลำพูน,รถจักรยานยนต์
14.0,ชาย,ตาก,รถจักรยานยนต์
64.0,หญิง,มหาสารคาม,รถจักรยานยนต์
69.0,หญิง,สุราษฎร์ธานี,รถจักรยานยนต์
51.0,ชาย,อุดรธานี,รถจักรยานยนต์
82.0,ชาย,ลำพูน,รถจักรยานยนต์
35.0,ชาย,เลย,รถจักรยานยนต์
25.0,หญิง,เชียงใหม่,รถจักรยานยนต์
70.0,ชาย,สระแก้ว,รถจักรยานยนต์
39.0,หญิง,ระยอง,รถจักรยานยนต์
35.0,ชาย,นครปฐม,รถจักรยานยนต์
14.0,ชาย,อุดรธานี,รถจักรยานยนต์
68.0,หญิง,สระแก้ว,รถจักรยานยนต์
75.0,ชาย,มหาสารคาม,รถจักรยานยนต์
23.0,ชาย,ลำพูน,รถจักรยานยนต์
52.0,ชาย,พะเยา,รถจักรยานยนต์
27.0,ชาย,เชียงใหม่,รถจักรยานยนต์
14.0,ชาย,สระแก้ว,รถจักรยานยนต์
65.0,หญิง,สตูล,รถยนต์
16.0,ชาย,สตูล,รถจักรยานยนต์
44.0,หญิง,สุรินทร์,รถยนต์
63.0,ชาย,เชียงใหม่,รถจักรยานยนต์
58.0,ชาย,ร้อยเอ็ด,รถจักรยาน
27.0,ชาย,พะเยา,รถยนต์
61.0,หญิง,สุโขทัย,รถจักรยานยนต์
48.0,หญิง,บุรีรัมย์,รถยนต์
17.0,ชาย,หนองคาย,รถจักรยานยนต์
22.0,หญิง,ชัยภูมิ,รถจักรยานยนต์
78.0,ชาย,ร้อยเอ็ด,รถจักรยานยนต์
20.0,ชาย,อุดรธานี,รถจักรยานยนต์
14.0,ชาย,ร้อยเอ็ด,รถจักรยานยนต์
19.0,ชาย,กรุงเทพมหานคร,รถจักรยานยนต์
12.0,ชาย,ตรัง,รถจักรยานยนต์
46.0,ชาย,นครราชสีมา,รถจักรยานยนต์
18.0,หญิง,จันทบุรี,รถจักรยานยนต์
75.0,หญิง,เชียงราย,รถจักรยานยนต์
77.0,ชาย,ตรัง,รถจักรยานยนต์
24.0,ชาย,ร้อยเอ็ด,รถยนต์
1.0,หญิง,เชียงราย,รถยนต์
34.0,ชาย,ลำพูน,รถจักรยานยนต์
60.0,ชาย,พิษณุโลก,รถยนต์
52.0,ชาย,สุโขทัย,รถจักรยานยนต์
66.0,หญิง,อุทัยธานี,รถจักรยานยนต์
24.0,หญิง,ร้อยเอ็ด,รถจักรยานยนต์
47.0,ชาย,ตราด,รถยนต์
15.0,หญิง,ชุมพร,รถจักรยานยนต์
16.0,ชาย,ปัตตานี,รถจักรยานยนต์
18.0,ชาย,มหาสารคาม,รถจักรยานยนต์
24.0,ชาย,อุตรดิตถ์,รถจักรยานยนต์
60.0,ชาย,อุตรดิตถ์,รถจักรยานยนต์
81.0,ชาย,บุรีรัมย์,รถจักรยานยนต์
21.0,ชาย,ยะลา,รถจักรยานยนต์
50.0,ชาย,นครสวรรค์,รถจักรยานยนต์
60.0,หญิง,นนทบุรี,รถจักรยานยนต์
66.0,ชาย,มหาสารคาม,รถยนต์
59.0,ชาย,เลย,รถจักรยานยนต์
34.0,ชาย,พัทลุง,รถจักรยานยนต์
46.0,ชาย,ชัยภูมิ,รถจักรยานยนต์
55.0,หญิง,อุดรธานี,รถจักรยานยนต์
75.0,หญิง,มหาสารคาม,รถจักรยานยนต์
32.0,ชาย,ชัยภูมิ,รถจักรยานยนต์
9.0,หญิง,สงขลา,รถจักรยานยนต์
30.0,หญิง,ปัตตานี,รถจักรยานยนต์
64.0,หญิง,อ่างทอง,รถจักรยานยนต์
50.0,ชาย,มหาสารคาม,รถจักรยานยนต์
67.0,ชาย,แพร่,รถจักรยานยนต์
60.0,หญิง,กรุงเทพมหานคร,รถจักรยานยนต์
14.0,ชาย,กรุงเทพมหานคร,รถจักรยานยนต์
54.0,ชาย,แพร่,รถยนต์
31.0,หญิง,มหาสารคาม,รถจักรยานยนต์
34.0,ชาย,นราธิวาส,คนเดินเท้า
32.0,ชาย,บุรีรัมย์,รถจักรยานยนต์
27.0,ชาย,สมุทรสาคร,รถยนต์
35.0,หญิง,นครราชสีมา,รถจักรยานยนต์
19.0,ชาย,สุราษฎร์ธานี,รถจักรยานยนต์
46.0,ชาย,เลย,รถจักรยานยนต์
58.0,ชาย,นราธิวาส,รถจักรยานยนต์
65.0,หญิง,ประจวบคีรีขันธ์,รถยนต์
63.0,ชาย,กรุงเทพมหานคร,รถจักรยานยนต์
64.0,ชาย,ลพบุรี,คนเดินเท้า
25.0,ชาย,เลย,รถจักรยานยนต์
37.0,หญิง,สงขลา,รถจักรยานยนต์
75.0,หญิง,ลำพูน,รถยนต์
2.0,ชาย,ยะลา,รถยนต์
30.0,ชาย,บึงกาฬ,รถจักรยานยนต์
74.0,หญิง,มหาสารคาม,รถยนต์
51.0,ชาย,เพชรบูรณ์,รถยนต์
45.0,ชาย,กรุงเทพมหานคร,รถจักรยานยนต์
82.0,ชาย,เพชรบูรณ์,คนเดินเท้า
21.0,ชาย,ชลบุรี,รถจักรยานยนต์
26.0,ชาย,กรุงเทพมหานคร,รถจักรยานยนต์
28.0,ชาย,สระแก้ว,รถจักรยานยนต์
17.0,หญิง,เพชรบูรณ์,รถยนต์
19.0,หญิง,กรุงเทพมหานคร,รถจักรยานยนต์
73.0,ชาย,บึงกาฬ,รถจักรยานยนต์
79.0,หญิง,สุโขทัย,รถจักรยานยนต์
73.0,ชาย,เลย,รถยนต์
84.0,หญิง,สกลนคร,รถยนต์
53.0,หญิง,สุโขทัย,รถจักรยานยนต์
39.0,หญิง,สกลนคร,รถจักรยานยนต์
68.0,ชาย,สมุทรสงคราม,รถจักรยานยนต์
34.0,ชาย,กรุงเทพมหานคร,รถจักรยานยนต์
24.0,ชาย,กรุงเทพมหานคร,รถจักรยานยนต์
22.0,ชาย,พัทลุง,รถจักรยานยนต์
57.0,หญิง,นครปฐม,รถจักรยานยนต์
65.0,ชาย,มหาสารคาม,รถยนต์
37.0,หญิง,เพชรบูรณ์,รถจักรยานยนต์
44.0,ชาย,ร้อยเอ็ด,รถจักรยานยนต์
24.0,ชาย,เพชรบุรี,รถจักรยานยนต์
40.0,ชาย,นครสวรรค์,รถจักรยานยนต์
79.0,หญิง,กรุงเทพมหานคร,รถจักรยานยนต์
62.0,ชาย,ชัยนาท,คนเดินเท้า
48.0,ชาย,ร้อยเอ็ด,รถยนต์
16.0,ชาย,หนองบัวลำภู,รถจักรยานยนต์
18.0,ชาย,เพชรบูรณ์,รถจักรยานยนต์
63.0,ชาย,ร้อยเอ็ด,รถจักรยานยนต์
73.0,ชาย,ร้อยเอ็ด,รถยนต์
61.0,ชาย,บึงกาฬ,รถจักรยานยนต์
78.0,หญิง,ลำปาง,รถจักรยานยนต์
43.0,หญิง,ขอนแก่น,รถจักรยานยนต์
15.0,หญิง,มหาสารคาม,รถจักรยานยนต์
19.0,ชาย,ร้อยเอ็ด,รถจักรยานยนต์
